Table 1
Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be (D. Guha-Sapir),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2021-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Wed, 27 Jan 2021 06:23:33 CET",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,5669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI
2019-0472-KOR,2019,0472,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone 'Mitag',Affected,Korea (the Republic of),KOR,Eastern Asia,Asia,South Jeolla Province,,,,,,,,75,Kph,,,,,2019,10,2,2019,10,2,15,11,1400,,1411,,,553000,100
2019-0149-KOR,2019,0149,Natural,Climatological,Wildfire,Forest fire,,,Affected,Korea (the Republic of),KOR,Eastern Asia,Asia,Gangwon province,,,,,,Yes,,,Km2,,,,,2019,4,4,2019,4,5,1,35,3000,,3035,,,,100
2019-9359-LAO,2019,9359,Natural,Climatological,Drought,Drought,,,Declar,Lao People's Democratic Republic (the),LAO,South-Eastern Asia,Asia,,,,,,,,,,Km2,,,,,2019,7,,2019,7,,,,,,,,,,100
2019-0419-LAO,2019,0419,Natural,Hydrological,Flood,,,,Kill,Lao People's Democratic Republic (the),LAO,South-Eastern Asia,Asia,"Attapeu, Champasak, Khammouan, Salavan, Savannakhet, Sekong provinces",Tropical Storm PODUL and Tropical Depression KAJIKI's,,,,,,,,Km2,,,,,2019,9,10,2019,9,11,16,,309176,,309176,,,,100
2019-0221-LKA,2019,0221,Natural,Biological,Epidemic,Viral disease,,Dengue,Kill,Sri Lanka,LKA,Southern Asia,Asia,"Colombo, Gampaha, Jaffna districts",,,,,,,,,Vaccinated,,,,,2019,1,,2019,5,,28,18760,,,18760,,,,100
2019-9389-LKA,2019,9389,Natural,Climatological,Drought,Drought,,,Waiting,Sri Lanka,LKA,Southern Asia,Asia,"North, North-Western, North-Central, Uva and Eastern Provinces",,,,,,,,,Km2,,,,,2019,8,,2020,3,,,,222091,,222091,,,,100
2019-0220-MDV,2019,0220,Natural,Hydrological,Flood,,,,Affected,Maldives,MDV,Southern Asia,Asia,"Haa Dhaal, Gaafu Alifu, Thaa, Laamu atolls",Monsoon floods,,,,,,,,Km2,,,,,2019,5,30,2019,6,8,,,1800,,1800,,,,100
2019-0347-MMR,2019,0347,Natural,Hydrological,Flood,,,,Affected,Myanmar,MMR,South-Eastern Asia,Asia,"Kachin, Mon States",Heavy rains,,,,,,,,Km2,,,,,2019,7,14,2019,7,14,,,6200,,6200,,,,100
2019-0199-MNG,2019,0199,Natural,Meteorological,Storm,Convective storm,Storm/Surge,,Affected,Mongolia,MNG,Eastern Asia,Asia,"Khentii, Tuv, Dornogovi, Umnugovi, Bayankhongor, Uvurkhangai, Govi-Altai provinces",,,,,,,,,Kph,,,,,2019,5,10,2019,5,11,,,500,,500,,,,100
2019-0219-MNG,2019,0219,Natural,Hydrological,Flood,,,,Affected,Mongolia,MNG,Eastern Asia,Asia,Ulaanbaatar; Tuv province,Heavy rains,,,,,,,85984,Km2,47.204,111.071,,,2019,6,15,2019,6,19,12,,500,,500,,,,100
2019-0226-MYS,2019,0226,Natural,Hydrological,Flood,,,,Affected,Malaysia,MYS,South-Eastern Asia,Asia,"Belaga district (Kapit division, Northern and central Sarawak State)",Heavy rains,,,,,,,,Km2,,,,,2019,6,2,2019,6,6,,,1000,,1000,,,,100
2019-0523-MYS,2019,0523,Natural,Hydrological,Flood,,,,Affected,Malaysia,MYS,South-Eastern Asia,Asia,Peninsular malaysia,,,,,,,,,Km2,,,,,2019,10,26,2019,10,27,,,2412,,2412,,,,100
2019-0135-NPL,2019,0135,Natural,Meteorological,Storm,Convective storm,Severe storm,,Kill,Nepal,NPL,Southern Asia,Asia,Bara district,,,,,,,,,Kph,,,,,2019,3,30,2019,3,31,28,612,14242,,14854,,,,100
2019-0252-OMN,2019,0252,Natural,Hydrological,Flood,,,,Waiting,Oman,OMN,Western Asia,Asia,Wadi Bani Khalid ,,,,,,,,,Km2,,,,,2019,5,18,2019,5,18,6,,,,,,,,100
2019-0460-PAK,2019,0460,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Pakistan,PAK,Southern Asia,Asia,Mirpur district (Southern Azad Jammu and Kashmir Territory),,,,,,,,6,Richter,33.106,73.766,16:01,,2019,9,24,2019,9,24,39,746,129652,,130398,,,17000,100
2019-0201-PAK,2019,0201,Natural,Hydrological,Flood,Flash flood,,,Kill,Pakistan,PAK,Southern Asia,Asia,"Balochistan, South Waziristan",,,,,,,,,Km2,,,,,2019,4,13,2019,4,14,20,,,,,,,,100
2019-0155-PAK,2019,0155,Natural,Meteorological,Storm,Convective storm,,,Kill,Pakistan,PAK,Southern Asia,Asia,"Federally Administered Tribal Areas (FATA), Balochistan and Punjab ",,,,,,,,,Kph,,,,,2019,4,15,2019,4,18,39,135,,,135,,,,100
2019-0372-PAK,2019,0372,Natural,Hydrological,Flood,,,,Kill,Pakistan,PAK,Southern Asia,Asia,Karachi,Monsoon rain,,,,,,,,Km2,,,,,2019,7,29,2019,7,31,16,,,,,,,,100
2019-0471-PAK,2019,0471,Natural,Hydrological,Flood,,,,Kill,Pakistan,PAK,Southern Asia,Asia,"Mardan, Dir Lower districts (Khyber Pakhtunkhwa province)",Heavy rains,,,,,,,,Km2,,,,,2019,9,30,2019,10,3,11,,,,,,,,100
2019-0162-PHL,2019,0162,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Castillejos (Zambales),,,,,,,,6,Richter,14.99,120.35,17:11,,2019,4,22,2019,4,22,25,282,15273,,15555,,,50000,100
2019-0356-PHL,2019,0356,Natural,Geophysical,Earthquake,Ground movement,,,Affected,Philippines (the),PHL,South-Eastern Asia,Asia,"Cantilan, Carmen, Carrascal, Lanuza, Madrid (Surigao del Sur)",,,,,,,,6,Richter,9.32,125.99,04:42,,2019,7,13,2019,7,13,,52,9525,,9577,,,,100
2019-0362-PHL,2019,0362,Natural,Geophysical,Earthquake,Ground movement,,,Affected,Philippines (the),PHL,South-Eastern Asia,Asia,Itbayat Island (Batanes Province),,,,,,,,6,Richter,20.807,121.986,04:16,,2019,7,27,2019,7,27,9,64,2963,,3027,,,5258,100
2019-0489-PHL,2019,0489,Natural,Geophysical,Earthquake,Ground movement,,,Affected,Philippines (the),PHL,South-Eastern Asia,Asia,North Cotabato Province (Mindanao Island),,,,,,,,6,Richter,6.714,125.009,19:37,,2019,10,16,2019,10,16,7,215,3068,,3283,,,,100
2019-0522-PHL,2019,0522,Natural,Geophysical,Earthquake,Ground movement,,,Affected,Philippines (the),PHL,South-Eastern Asia,Asia,Davao del Sur and South Cotabato provinces; North Cotabato Province (Mindanao Island),,,,,,,,7,Richter,6.754,124.985,09:04,,2019,10,29,2019,10,29,10,395,25630,,26025,,,,100
2019-0021-PHL,2019,0021,Natural,Meteorological,Storm,Tropical cyclone,,Tropical depression 'Amang' (01W),Affected,Philippines (the),PHL,South-Eastern Asia,Asia,"Agusan del Norte, Agisan del Sur, Dinaga Isl., Surigao del Norte, Surigao del Sur (Region XIII - Caraga)",,,,,,,,,Kph,,,,,2019,1,18,2019,1,25,,,13160,,13160,,,,100
2019-0349-PHL,2019,0349,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone 'Danas',Affected,Philippines (the),PHL,South-Eastern Asia,Asia," Cordillera Administrative Region, Ilocos, Cagayan Valley",,,,,,,,,Kph,,,,,2019,7,18,2019,7,18,4,,2000,,2000,,,377440,100
2019-0434-PHL,2019,0434,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone 'Podul',Affected,Philippines (the),PHL,South-Eastern Asia,Asia,Aurora Province,,,,,,,,,Kph,,,,,2019,8,27,2019,8,28,2,2,61500,,61502,,,,100
2019-0080-PHL,2019,0080,Natural,Biological,Epidemic,Viral disease,,Measles,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Luzon and Visayas in CALABARZON, Region 6 (Western Visayas) and Region 7 (Central Visayas), Region 8 (Eastern Visayas) and Region 10 (Northern Mindanao)",,,,,,Yes,,,Vaccinated,,,,,2019,1,1,2019,4,27,333,22967,,,22967,,,,100
2019-0355-PHL,2019,0355,Natural,Biological,Epidemic,Viral disease,,Dengue,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"II, IVA, V; Iloilo, Capiz, Aklan, Antique Guimaras (region VI), VII, VIII, IX, II, BARMM, NCR",,,,,,,,,Vaccinated,,,,,2019,1,1,2019,6,29,492,106630,,,106630,,,,100
2019-9137-PHL,2019,9137,Natural,Climatological,Drought,Drought,,,Affected,Philippines (the),PHL,South-Eastern Asia,Asia,"MIMAROPA Region, Region IX, Region XII, BARMM, Metro Manilla",El Nino,,,,,Yes,,,Km2,,,,,2019,3,,2019,4,,,,16000,,16000,,,,100
2019-0264-PHL,2019,0264,Natural,Hydrological,Flood,,,,Affected,Philippines (the),PHL,South-Eastern Asia,Asia,"Datu Salibo and Sultan sa Barongis municipalities (Maguindanao Province, Mindanao Island)",Heavy rains,,,,,,,5390,Km2,8.223,123.493,,,2019,6,3,2019,6,23,,,45000,,45000,,,,100
2019-0424-PRK,2019,0424,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone 'Lingling',Affected,Korea (the Democratic People's Republic of),PRK,Eastern Asia,Asia,"Yonggwang, Yodok, Jangjin Counties; Tanchon City (South Hamgyong Province)",,,,,,,,,Kph,,,,,2019,9,6,2019,9,7,5,,5300000,,5300000,,,24000,100
2019-0033-SAU,2019,0033,Natural,Hydrological,Flood,,,,Kill,Saudi Arabia,SAU,Western Asia,Asia,Tabouk,Heavy rains,,,,,,,632316,Km2,26.674,41.295,,,2019,1,27,2019,1,30,12,,271,,271,,,,100
2019-0252-SAU,2019,0252,Natural,Hydrological,Flood,,,,Waiting,Saudi Arabia,SAU,Western Asia,Asia,Taif (Meccah province),,,,,,,,238157,Km2,18.54,45.254,,,2019,5,22,2019,5,27,1,,36,,36,,,,100
2019-0518-SAU,2019,0518,Natural,Hydrological,Flood,,,,Waiting,Saudi Arabia,SAU,Western Asia,Asia,Hafar al-Batin City (Eastern Province) ,Torrential rains,,,,,,,,Km2,,,,,2019,10,28,2019,10,28,7,11,1100,,1111,,,,100
2019-0137-SYR,2019,0137,Natural,Hydrological,Flood,,,,Affected,Syrian Arab Republic,SYR,Western Asia,Asia,"Idleb, Al Hasakeh Governate",Torrential rains,,,,,,,,Km2,,,,,2019,3,30,2019,4,3,2,,235000,,235000,,,,100
2019-0009-THA,2019,0009,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cylone 'Pabuk',Affected,Thailand,THA,South-Eastern Asia,Asia,"Nakhon Si Thammarat, Surat Thani provinces",,,,,,,,,Kph,,,,,2019,1,4,2019,1,4,7,,720885,,720885,,,,100
2019-9359-THA,2019,9359,Natural,Climatological,Drought,Drought,,,Declar,Thailand,THA,South-Eastern Asia,Asia,"North, Northeastern, Central Plains ",,,,,,Yes,,,Km2,,,,,2019,7,,2020,2,,,,,,,,,,100
1970-0134-TUR,1970,0134,Natural,Geophysical,Earthquake,Ground movement,,,Affected,Turkey,TUR,Western Asia,Asia,"Demirci, Manisa",,,,,,,,6,Richter,39.1,28.7,12:01,,1970,4,23,1970,4,23,,43,750,,793,,,,15.1863354613098
1971-0140-IDN,1971,0140,Natural,Geophysical,Earthquake,Ground movement,,,Affected,Indonesia,IDN,South-Eastern Asia,Asia,"Buaran, Bantar Kawsun, Jipang (Java)",,,,,,,,5,Richter,-7.2,109.1,21:44,,1971,6,16,1971,6,16,1,6,6885,,6891,,,,15.8382546266338
1972-0151-AFG,1972,0151,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Afghanistan,AFG,Southern Asia,Asia,"Sarsangi, Narin counties (Hindu Kush region)",,,,,,,,6,Richter,36.278,69.681,19:59,,1972,6,24,1972,6,24,11,15,,,15,,,,16.3565247541826
1973-0150-JPN,1973,0150,Natural,Geophysical,Earthquake,Ground movement,,,SigDam,Japan,JPN,Eastern Asia,Asia,Hokkaido Isl.,,Tsunami/Tidal wave,,,,,,8,Richter,43.233,145.785,12:55,,1973,6,17,1973,6,17,,27,,,27,,,5000,17.3669860176555
1973-0147-CHN,1973,0147,Natural,Geophysical,Earthquake,Ground movement,,,Affected,China,CHN,Eastern Asia,Asia,Western Sichuan,,,,,,,,7,Richter,31.398,100.581,17:37,,1973,2,6,1973,2,6,,,,840,840,,,,17.3669860176555
1979-0301-CHN,1979,0301,Natural,Geophysical,Earthquake,Ground movement,,,Affected,China,CHN,Eastern Asia,Asia,"Nei Mongol, Wu-Yuan",,,,,,,,6,Richter,41.145,108.129,00:59,,1979,8,25,1979,8,25,,104,,2000,2104,,,,28.3875988971359
1979-0300-TUR,1979,0300,Natural,Geophysical,Earthquake,Ground movement,,,Affected,Turkey,TUR,Western Asia,Asia,"Dursunvey, Anatolia",,,,,,,,5,Richter,39.672,28.66,16:12,,1979,7,18,1979,7,18,,,,1000,1000,,,,28.3875988971359
2015-0620-VNM,2015,0620,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone Vamco,Affected,Viet Nam,VNM,South-Eastern Asia,Asia,"Da Nang, Quang Nam (Duy Xuyen, Nong Son districts), Quand Ngai (Ly Son District), Thanh Hoa",,Flood,,,,,,,Kph,,,,,2015,9,14,2015,9,14,11,,,,,,,12800,92.7088219860826
2016-0573-VNM,2016,0573,Natural,Hydrological,Flood,,,,Affected,Viet Nam,VNM,South-Eastern Asia,Asia,"Thanh Hóa, Lào Cai, Yên Bái, Bac Kan, Dien Bien, Ha Thin, Son La, Thai Nguyen",Torrential rainfall,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2016,8,12,2016,8,14,8,4,410,95,509,,,,93.878436484259
2017-0251-TJK,2017,0251,Natural,Hydrological,Flood,,,,Affected,Tajikistan,TJK,Central Asia,Asia,"Amondara village, Panjakent district (Sughd Province)",,Storm,"Slide (land, mud, snow, rock)",,,,,,Km2,,,,,2017,6,26,2017,6,26,,,700,,700,,,,95.8781657744988
2017-0566-TUR,2017,0566,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,Affected,Turkey,TUR,Western Asia,Asia,Istanbul,,Hail,Flood,,,,,,Kph,,,,,2017,7,27,2017,7,27,,,270,,270,,300000,600000,95.8781657744988
2017-0169-TWN,2017,0169,Natural,Hydrological,Flood,Riverine flood,,,Affected,Taiwan (Province of China),TWN,Eastern Asia,Asia,"New Taipei City (Bali, Shimen Districts), Yunlin County, Taichung City, Changhua County, Nantou County, and Chiayi County; Kaohsiung City, Nantou County, Chiayi County, Tainan City",Mei-Yu rain band,"Slide (land, mud, snow, rock)",,,,,,16446,Km2,24.302,121.216,,,2017,5,31,2017,6,5,5,35,4000,39,4074,,,28100,95.8781657744988
2017-0337-VNM,2017,0337,Natural,Hydrological,Flood,Flash flood,,,Kill,Viet Nam,VNM,South-Eastern Asia,Asia,"Yen Bai (Mu Cang Chai district), Son La (Muong La), Bac Kan, Lai Chau (Nam-Ho Dien Bien district), Dien Bien",,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,Da river,2017,8,3,2017,8,3,39,21,3000,1140,4161,,,88000,95.8781657744988
2017-0259-VNM,2017,0259,Natural,Hydrological,Flood,,,,Affected,Viet Nam,VNM,South-Eastern Asia,Asia,"Ha Giang, Lao Cai, Dien Bien, Yen Bai (Mu Cang Chai district), Tuyen Quang, Thai Nguyen, Lai Chau, Bac Kan, Cao Bang (Hoa An district), Binh Thuan, An Giang, Cà Mau (Nam Can, Ngoc Hien and Dam Doi districts) Provinces",,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2017,6,27,2017,7,5,1,4,4100,,4104,,,355,95.8781657744988
2017-0270-VNM,2017,0270,Natural,Hydrological,Flood,,,,Kill,Viet Nam,VNM,South-Eastern Asia,Asia,"Thai Nguyen, Ha Giang, Dien Bien, Hoa Binh, Cao Bang",Heavy rainfall,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2017,7,7,2017,7,10,14,,400,,400,,,1300,95.8781657744988
2017-0428-VNM,2017,0428,Natural,Hydrological,Flood,,,,Affected,Viet Nam,VNM,South-Eastern Asia,Asia,"Thanh Hoa, Nghe An, Ha Tinh, Hoa Binh, Yen Bai (V?n Tr?n, Tr?m T?u districts, Ngh?a L? Town), Son La, Quang Tri, Ha Noi (Nam Hai, Chong My), Phu Tho, Ha Nam",Tropical Depression 23W,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,"Mã, La, Ngàn Sâu, and Ngàn Ph? Rivers",2017,10,8,2017,10,16,75,38,40000,,40038,,,88000,95.8781657744988
2017-0280-TUR,2017,0280,Natural,Geophysical,Earthquake,Ground movement,,,Affected,Turkey,TUR,Western Asia,Asia,Bodrum,,Tsunami/Tidal wave,,,,,,7,Richter,,,01:31,,2017,7,21,2017,7,21,,360,,,360,,,,95.8781657744988
2017-0465-THA,2017,0465,Natural,Hydrological,Flood,,,,Kill,Thailand,THA,South-Eastern Asia,Asia,"Central plains provinces- Bangkok, Chai Nat, Pathum Thani, Lop Buri, Kamphaeng Phet, Sing Buri, Ang Thong, Ayutthaya, Nakhon Sawan, Tak, and Pichit, Khon Kaen, Sukhothai, Uthai Thani, Suphan Buri, Nong Bua Lam Phu, Maha Sarakham, Kalasin, Roi Et, Ubon Ratchathani provinces",,Broken Dam/Burst bank,,,,,,101670,Km2,14.594,100.679,,"Yom, Nan, Chao Phraya, Tha Chin, Chi and Mun rivers",2017,10,10,2017,11,8,9,,605000,,605000,,,1400,95.8781657744988
2017-0326-TWN,2017,0326,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon Nesat & Haitang,Affected,Taiwan (Province of China),TWN,Eastern Asia,Asia,"Kaohsiung City, New Taipei City",,Flood,,,,,,150,Kph,,,,,2017,7,29,2017,7,31,1,131,,,131,,,17200,95.8781657744988
2017-0422-VNM,2017,0422,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon 'Damrey' / 'Ramil',Kill,Viet Nam,VNM,South-Eastern Asia,Asia,"Khanh Hoa, Phu Yên, Binh Dinh, Dak Lak, Gia Lai, Dak Nông, Lâm Dông, Quang Nam, Quang Ngai, Kon Tum",,Flood,,,,,,130,Kph,,,,,2017,11,4,2017,11,5,123,,4330000,,4330000,,,1000000,95.8781657744988
2017-0034-TJK,2017,0034,Natural,Hydrological,Landslide,Avalanche,,,Waiting,Tajikistan,TJK,Central Asia,Asia,"Pamir region. Road between Douchanbe (Tadshikistan territories) and Khodjent (Sogd), Gorno-Badakhshan region (East)",,,,,,,,,,,,,,2017,1,27,2017,1,28,13,,,,,,,,95.8781657744988
2017-0448-TJK,2017,0448,Natural,Biological,Epidemic,Viral disease,,Measles,Affected,Tajikistan,TJK,Central Asia,Asia,"Rudaki district, Dushanbe, Khatlon oblast",,,,,,,,,Vaccinated,,,,,2017,4,,2017,5,,,,,,,,,,95.8781657744988
2017-0281-VNM,2017,0281,Natural,Meteorological,Storm,Tropical cyclone,,Tropical Storm Talas,Affected,Viet Nam,VNM,South-Eastern Asia,Asia,"Thanh Hoa, Nghe An (Hon Ngu beach, Cua Lo district), Ha Tinh, Ha Noi city (Nhà Xanh Market in Câu Giây District)",,,,,,,,95,Kph,,,01:00,,2017,7,17,2017,7,18,9,,21000,,21000,,,71000,95.8781657744988
2017-0352-VNM,2017,0352,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon 'Hato',Kill,Viet Nam,VNM,South-Eastern Asia,Asia,Lao Cai (Sa Pa district),,,,,,,,,Kph,,,,,2017,8,24,2017,8,24,1,1,,,1,,,1430000,95.8781657744988
2017-0406-VNM,2017,0406,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon 'Doksuri',Affected,Viet Nam,VNM,South-Eastern Asia,Asia,"Nghe An, Ha Tinh, Thanh Hoa, Quang Binh, Quang Tri, Thua Thien-Hue, Hoa Binh ",,,,,,,,185,Kph,,,,,2017,9,15,2017,9,16,14,112,691900,,692012,,,484000,95.8781657744988
2017-0492-VNM,2017,0492,Natural,Hydrological,Flood,,,,Affected,Viet Nam,VNM,South-Eastern Asia,Asia,"Quang Tri, Thua Thien-Hue, Da Nang, Quang Nam, Quang Ngai, Binh Dinh ",Tropical depression,,,,,,,27646,Km2,11.664,108.399,,Cu De River,2017,11,19,2017,11,24,8,,41500,,41500,,,,95.8781657744988
2017-0279-YEM,2017,0279,Natural,Biological,Epidemic,Bacterial disease,,Cholera,Kill,Yemen,YEM,Western Asia,Asia,Sanaa,,,,,,,,,Vaccinated,,,,,2017,4,27,2017,6,3,,,,,,,,,95.8781657744988
2017-0555-YEM,2017,0555,Natural,Biological,Epidemic,Bacterial disease,,Diphteria,Kill,Yemen,YEM,Western Asia,Asia,Sanaa,,,,,,,,,Vaccinated,,,,,2017,10,29,2017,12,21,35,298,,,298,,,,95.8781657744988
2017-0365-YEM,2017,0365,Natural,Hydrological,Flood,,,,Kill,Yemen,YEM,Western Asia,Asia,"Taëz, Lahj provinces, Portions of Jibla (south of Ibb), Taizz city, Ibb city",Heavy rains,,,,,,,,Km2,,,,,2017,8,29,2017,8,30,50,8,,,8,,,,95.8781657744988
2018-0227-VNM,2018,0227,Natural,Meteorological,Storm,Tropical cyclone,,Tyhoon 'Son Tinh',Kill,Viet Nam,VNM,South-Eastern Asia,Asia,Chuong My,,Flood,"Slide (land, mud, snow, rock)",,,,,,Kph,,,,,2018,7,18,2018,7,22,34,,96000,,96000,,,220000,98.2199906178672
2018-0305-VNM,2018,0305,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon 'Bebinca',Kill,Viet Nam,VNM,South-Eastern Asia,Asia,"Nghe An,Son La, Thanh Hóa, Yên Bái,Bac Giang provinces",,Flood,"Slide (land, mud, snow, rock)",,,,,,Kph,,,,,2018,8,17,2018,8,19,13,,50000,,50000,,,2000,98.2199906178672
2018-0204-VNM,2018,0204,Natural,Hydrological,Flood,Flash flood,,,Kill,Viet Nam,VNM,South-Eastern Asia,Asia,Lai Chau,,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2018,6,23,2018,6,27,33,18,16710,,16728,,,23000,98.2199906178672
2018-0369-VNM,2018,0369,Natural,Hydrological,Flood,,,,Kill,Viet Nam,VNM,South-Eastern Asia,Asia,Northern provinces,Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2018,8,29,2018,9,5,20,,6000,,6000,,,,98.2199906178672
2018-0313-TWN,2018,0313,Natural,Meteorological,Storm,Tropical cyclone,,,Affected,Taiwan (Province of China),TWN,Eastern Asia,Asia,"Chiayi, Kaohsiung, Tainan counties",,Flood,,,,,,,Kph,,,,,2018,8,23,2018,8,26,7,140,6000,,6140,,,34000,98.2199906178672
2018-0201-VNM,2018,0201,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Ewiniar',Kill,Viet Nam,VNM,South-Eastern Asia,Asia,,,Flood,,,,,,,Kph,,,,,2018,6,6,2018,6,19,1,,,,,,,,98.2199906178672
2018-0177-YEM,2018,0177,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone 'Mekunu',Affected,Yemen,YEM,Western Asia,Asia,Socotra Isl.,,Flood,,,,,,,Kph,,,,,2018,5,23,2018,5,23,24,,750,,750,,,,98.2199906178672
2018-0394-YEM,2018,0394,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone 'Luban',Kill,Yemen,YEM,Western Asia,Asia,Al Maharah governorate,,Flood,,,,,,,Kph,,,,,2018,10,14,2018,10,15,25,124,15000,,15124,,,,98.2199906178672
2018-0272-TUR,2018,0272,Natural,Hydrological,Landslide,Landslide,,,Kill,Turkey,TUR,Western Asia,Asia,Sarilar village (Tekirdag region),Heavy rains,Transport accident,,,,,,,,,,,,2018,7,8,2018,7,8,24,100,,,100,,,,98.2199906178672
2018-0207-TJK,2018,0207,Natural,Hydrological,Flood,,,,Affected,Tajikistan,TJK,Central Asia,Asia,"Farkhor, Panj districts (Khatlon Province)",,,,,,,,,Km2,,,,,2018,5,16,2018,5,21,6,,5725,,5725,,,,98.2199906178672
2018-0059-TWN,2018,0059,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Taiwan (Province of China),TWN,Eastern Asia,Asia,Hualian,,,,,,,,6,Richter,24.136,121.658,23:50,,2018,2,6,2018,2,6,84,285,,,285,,,100000,98.2199906178672
2018-0448-VNM,2018,0448,Natural,Hydrological,Flood,Flash flood,,,Affected,Viet Nam,VNM,South-Eastern Asia,Asia,"Thanh Hoa, Binh Dinh, Nghe An, Quang Tri, Quang Ngai, Quang Nam, Da Nang",Heavy rains,,,,,,,,Km2,,,,,2018,12,8,2018,12,10,14,,105000,,105000,,,25000,98.2199906178672
2018-0484-VNM,2018,0484,Natural,Meteorological,Storm,Tropical cyclone,,Tropical depression 'Toraji',Kill,Viet Nam,VNM,South-Eastern Asia,Asia,Khanh Hoa province,,,,,,,,,Kph,,,,,2018,11,17,2018,11,18,19,28,10000,,10028,,,17200,98.2199906178672
2019-0541-PHL,2019,0541,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone 'Kalmaegi' (Ramon),Affected,Philippines (the),PHL,South-Eastern Asia,Asia,"Romblon Province (Mimaropa region), Camarines Sur Province (Bicol Region)",,Flood,"Slide (land, mud, snow, rock)",,,,,110,Kph,,,,,2019,11,17,2019,11,17,,,3000,,3000,,,,100
2019-0634-PHL,2019,0634,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone 'Phanfone' (Ursula),Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Salcedo, Eastern Samar; Tacloban City, Leyte; Gigantes Islands, Carles, Iloilo; Ibajay, Aklan; Semirara Island, Caluya, Antique; Bulalacao, Oriental Mindoro; Cabucgayan, Biliran; Cagayan Valley, Cordillera Administrative Region ",,Flood,"Slide (land, mud, snow, rock)",,,,,150,Kph,,,,,2019,12,24,2019,12,28,63,369,3296877,,3297246,,,15722,100
2019-0534-VNM,2019,0534,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon 'Matmo',Affected,Viet Nam,VNM,South-Eastern Asia,Asia,"Quang Ngai, Binh Dinh, Phu Yen, Gia Lai, Thua Thien Hue province ",,Flood,"Slide (land, mud, snow, rock)",,,,,,Kph,,,,,2019,11,3,2019,11,3,1,14,20000,,20014,,,,100
2019-0216-TJK,2019,0216,Natural,Hydrological,Flood,Flash flood,,,Affected,Tajikistan,TJK,Central Asia,Asia,"Farkhor, Vose, Temurmalik, Khuroson, Panj (Khatlon province); Konibodom, Panjakent, Isfara, B. Gafurov (Sughd province); Rudaky, Fayzobod districts (DRD)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,106546,Km2,37.42,69.354,,,2019,6,1,2019,6,7,4,,6750,,6750,,,,100
